date,open,high,low,close,volume,vwap,transactions,ticker
2022-03-28,452.06,455.91,450.06,455.91,68289867.0,453.2845,624220,SPY
2022-03-29,460.02,462.07,457.18,461.55,86556542.0,459.637,738517,SPY
2022-03-30,460.34,461.195,456.465,458.7,79155242.0,459.1689,659195,SPY
2022-03-31,457.89,458.76,451.16,451.64,121083948.0,455.3757,755684,SPY
2022-04-01,453.31,453.46,449.14,452.92,88973773.0,451.8507,627039,SPY
2022-04-04,453.13,456.91,452.26,456.8,59504500.0,455.311,504721,SPY
2022-04-05,455.22,457.83,449.82,451.03,74213133.0,453.4101,646030,SPY
2022-04-06,446.89,448.93,443.47,446.52,106844970.0,446.3477,903937,SPY
2022-04-07,445.59,450.69,443.53,448.77,78097214.0,447.1117,632862,SPY
2022-04-08,447.97,450.63,445.94,447.57,79205711.0,448.2497,574887,SPY
2022-04-11,444.11,445.0,439.39,439.92,89770538.0,442.2088,781085,SPY
2022-04-12,443.08,445.75,436.6501,438.29,84363635.0,440.8142,696834,SPY
2022-04-13,438.03,444.11,437.84,443.31,73950154.0,441.2623,567443,SPY
2022-04-14,443.55,444.7301,437.68,437.79,97869451.0,440.2705,705563,SPY
2022-04-18,436.81,439.75,435.61,437.97,64950498.0,437.8417,575881,SPY
2022-04-19,437.86,445.8,437.68,445.04,77784013.0,443.0733,599070,SPY
2022-04-20,446.92,447.57,443.48,444.71,65210049.0,445.6116,595910,SPY
2022-04-21,448.54,450.01,437.1,438.06,85417327.0,442.7637,722878,SPY
2022-04-22,436.91,438.0825,425.44,426.04,132371772.0,429.8197,974880,SPY
2022-04-25,423.67,428.69,418.84,428.51,119636648.0,423.9628,1146068,SPY
2022-04-26,425.83,426.04,416.07,416.1,103996312.0,420.0383,1007658,SPY
2022-04-27,417.24,422.92,415.01,417.27,121980990.0,418.8355,1010488,SPY
2022-04-28,422.29,429.64,417.6,427.81,105375338.0,424.0568,807518,SPY
2022-04-29,423.59,425.87,411.21,412.0,145311088.0,416.8611,1148898,SPY
2022-05-02,412.07,415.92,405.02,414.48,158312526.0,411.153,1466164,SPY
2022-05-03,415.01,418.93,413.36,416.38,100013490.0,416.1059,854781,SPY
2022-05-04,417.08,429.66,413.7099,429.06,144247895.0,421.2666,1465732,SPY
2022-05-05,424.55,425.0,409.44,413.81,172929106.0,415.4351,1586336,SPY
2022-05-06,411.1,414.8,405.73,411.34,151746311.0,410.5178,1531002,SPY
2022-05-09,405.1,406.41,396.5,398.17,155571067.0,401.9209,1422451,SPY
2022-05-10,404.49,406.08,394.82,399.09,132497200.0,399.8401,1467481,SPY
2022-05-11,398.07,404.04,391.96,392.75,142360992.0,397.438,1530065,SPY
2022-05-12,389.37,395.8,385.15,392.34,125090753.0,389.9946,1485883,SPY
2022-05-13,396.71,403.18,395.61,401.72,104060921.0,399.8724,859058,SPY
2022-05-16,399.98,403.97,397.6,400.09,78582794.0,400.6442,734539,SPY
2022-05-17,406.53,408.57,402.5824,408.32,82720710.0,405.7484,743971,SPY
2022-05-18,403.5,403.8,390.55,391.86,117669645.0,396.0277,967497,SPY
2022-05-19,388.62,394.14,387.11,389.46,98477715.0,390.3546,937782,SPY
2022-05-20,393.25,397.03,380.54,389.63,131137197.0,387.0485,1100341,SPY
2022-05-23,392.83,397.73,390.38,396.92,76371878.0,395.1774,714909,SPY
2022-05-24,392.56,395.15,386.96,393.89,91380131.0,391.5536,804223,SPY
2022-05-25,392.31,399.45,391.89,397.37,91397866.0,395.7817,768574,SPY
2022-05-26,398.67,407.04,398.45,405.31,82123839.0,404.2641,606434,SPY
2022-05-27,407.91,415.3801,407.7,415.26,84769855.0,412.4828,603517,SPY
2022-05-31,413.55,416.46,410.03,412.93,95936980.0,413.3975,713844,SPY
2022-06-01,415.17,416.24,406.93,409.59,86565813.0,410.7886,697746,SPY
2022-06-02,409.42,417.44,407.04,417.39,79409633.0,413.3725,616249,SPY
2022-06-03,412.4,414.04,409.51,410.54,71874281.0,411.8587,577277,SPY
2022-06-06,414.78,416.609,410.5523,411.79,57503038.0,413.0568,473552,SPY
2022-06-07,408.1,416.22,407.61,415.74,59259373.0,412.9883,481780,SPY
2022-06-08,413.93,415.82,410.38,411.22,64349966.0,412.7375,505047,SPY
2022-06-09,409.34,411.74,401.44,401.44,86249796.0,406.8426,580040,SPY
2022-06-10,394.88,395.7777,389.75,389.8,131723864.0,392.8831,914118,SPY
2022-06-13,379.85,381.81,373.3,375.0,169975861.0,378.6775,1138048,SPY
2022-06-14,376.85,377.94,370.59,373.87,104007431.0,374.3226,826153,SPY
2022-06-15,377.36,383.9,372.12,379.2,125666797.0,378.0522,1079873,SPY
2022-06-16,370.51,370.94,364.0799,366.65,134219538.0,368.4679,911464,SPY
2022-06-17,365.51,369.38,362.17,365.86,111113904.0,366.2577,826497,SPY
2022-06-21,371.89,376.525,371.81,375.07,76811861.0,374.3771,581110,SPY
2022-06-22,370.62,378.72,370.18,374.39,90059424.0,375.1498,607593,SPY
2022-06-23,376.64,378.83,372.89,378.06,79292135.0,376.2289,632097,SPY
2022-06-24,381.4,390.09,381.365,390.08,97948933.0,386.7175,632670,SPY
2022-06-27,391.05,391.36,387.44,388.59,65955617.0,389.0839,555367,SPY
2022-06-28,390.23,393.16,380.53,380.65,86680824.0,384.908,643730,SPY
2022-06-29,381.23,382.27,378.42,380.34,65583999.0,380.3919,522698,SPY
2022-06-30,376.24,380.6582,372.56,377.25,112503273.0,377.0747,805230,SPY
2022-07-01,376.56,381.7,373.8,381.24,74837629.0,378.234,606017,SPY
2022-07-05,375.88,381.98,372.9,381.96,81406965.0,377.5154,649490,SPY
2022-07-06,382.11,385.87,379.6,383.25,70121444.0,382.5043,619249,SPY
2022-07-07,385.12,389.83,383.267,388.99,64511919.0,387.6265,470171,SPY
2022-07-08,387.27,390.64,385.66,388.67,72385765.0,388.654,513500,SPY
2022-07-11,385.85,386.87,383.5,384.23,58366945.0,384.8712,475888,SPY
2022-07-12,383.65,386.16,378.99,380.83,62219178.0,382.6181,514047,SPY
2022-07-13,375.1,381.92,374.658,378.83,84198649.0,378.8276,677546,SPY
2022-07-14,373.61,379.0498,371.04,377.91,89704819.0,375.5832,642061,SPY
2022-07-15,382.55,385.25,380.54,385.13,79026583.0,383.3245,490641,SPY
2022-07-18,388.38,389.09,380.66,381.95,63203626.0,385.091,492280,SPY
2022-07-19,386.08,392.87,385.39,392.27,78505972.0,389.3658,536188,SPY
2022-07-20,392.47,396.26,391.03,394.77,71843769.0,394.171,529990,SPY
2022-07-21,394.16,398.84,391.63,398.79,64903856.0,396.1218,524202,SPY
2022-07-22,398.92,400.18,392.75,395.09,72197322.0,395.9432,529345,SPY
2022-07-25,395.75,396.47,393.21,395.57,53599485.0,395.0443,440037,SPY
2022-07-26,393.84,394.06,389.95,390.89,52946393.0,391.8555,438456,SPY
2022-07-27,394.36,402.88,394.05,401.04,82042106.0,398.2952,597549,SPY
2022-07-28,401.89,406.8,398.15,406.07,73962563.0,403.6443,570078,SPY
2022-07-29,407.58,413.03,406.77,411.99,87003672.0,410.6717,546745,SPY
2022-08-01,409.15,413.41,408.4,410.77,69972971.0,411.0756,518949,SPY
2022-08-02,409.12,413.0,406.82,408.06,63435418.0,409.6317,505800,SPY
2022-08-03,410.3,415.68,410.0,414.45,67810555.0,413.2696,465611,SPY
2022-08-04,414.37,415.09,412.44,414.17,45656574.0,414.0805,365311,SPY
2022-08-05,409.66,414.15,409.6,413.47,56814929.0,412.2923,455952,SPY
